Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE PRINCESA ISABEL;21131651;MA;Governador Luiz Rocha;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CENTRO VELHO, ZONA RURAL. 65795-000 Governador Luiz Rocha - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.4848774;-43.9620416
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE DISTRITAL ISRAEL;21131902;MA;Governador Luiz Rocha;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ARMANDO FERNANDES, 65795-000 Governador Luiz Rocha - MA.";(99) 984231721;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";;-5.4753138;-44.0712178
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UNIDADE INTEGRADA FRANCISCO EDMILSON PEREIRA;21131929;MA;Governador Luiz Rocha;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA OSMAR PONTES, S/N CENTRO. 65795-000 Governador Luiz Rocha - MA.";(99) 984347812;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.46891794074327;-44.0806681662798
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE JOAO PAULO II;21131988;MA;Governador Luiz Rocha;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CENTRO DOS BASTINS, S/N ZONA RURAL. 65795-000 Governador Luiz Rocha - MA.";(99) 984467708;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.52407664712518;-44.0707800351083
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UNIDADE INTEGRADA PAULO VI;21132011;MA;Governador Luiz Rocha;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SAO JOAO DA MATA, S/N ZONA RURAL. 65795-000 Governador Luiz Rocha - MA.";(99) 988613354;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.51871042698622;-44.1449492331594
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UNIDADE INTEGRADA SANTOS DUMONT;21132151;MA;Governador Luiz Rocha;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CASTELO BRANCO, BOCA DA MATA. 65795-000 Governador Luiz Rocha - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-5.4818823;-44.0621805
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE SAO DOMINGOS;21132356;MA;Governador Luiz Rocha;Rural;A escola não está em área de localização diferenciada;Pública;"ANDIARIAREIS2017GMAIL.COM, ZONA RURAL. 65795-000 Governador Luiz Rocha - MA.";(99) 992252928;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.4684259;-44.2126644
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE SEN SARNEY;21132399;MA;Governador Luiz Rocha;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SAO FELEX, S/N ZONA RURAL. 65795-000 Governador Luiz Rocha - MA.";(99) 92087061;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.4866742;-44.1337144
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE STA RITA;21132402;MA;Governador Luiz Rocha;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CARACOL, S/N ZONA RURAL. 65795-000 Governador Luiz Rocha - MA.";(99) 984508084;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.43705074116588;-44.0710602421314
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE STA HELENA;21217955;MA;Governador Luiz Rocha;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO POUCO TEMPO, S/N ZONA RURAL. 65795-000 Governador Luiz Rocha - MA.";(99) 988563234;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-5.45057540293783;-44.164724573493
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CRECHE PEQUENO PRINCIPE;21249024;MA;Governador Luiz Rocha;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA PRESIDENTE JUSCELINO, CENTRO. 65795-000 Governador Luiz Rocha - MA.";(99) 984993373;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-5.4743465;-44.0717868
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE LUIS CHEIVAN;21253544;MA;Governador Luiz Rocha;Urbana;A escola não está em área de localização diferenciada;Pública;"AV. FORTUNATO PONTES, CENTRO. 65795-000 Governador Luiz Rocha - MA.";(99) 984097502;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.4666059;-44.0711293
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE ENSINO LUIS CHEIVAN;21255261;MA;Governador Luiz Rocha;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA GETULIO VARGAS, S/N CENTRO. 65795-000 Governador Luiz Rocha - MA.";(99) 35611008;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-5.47528333333333;-44.0687366666667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE PROFESSOR ANTONIO GENIEL;21271720;MA;Governador Luiz Rocha;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDACELSO COSTA, CENTRO. 65795-000 Governador Luiz Rocha - MA.";(99) 984433263;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.4772665;-44.0686543
