Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GE FRANCISCA ABRANTE;21166471;MA;Jatobá;Rural;Área de assentamento;Pública;"POVOADO CACHOEIRA, POVOADO. 65693-000 Jatobá - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.92351445;-44.18980066
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GE PROF MACEDO;21166480;MA;Jatobá;Rural;A escola não está em área de localização diferenciada;Pública;"RUA DO CAMPO - POVOADO LAJEADO, SN POVOADO. 65693-000 Jatobá - MA.";(99) 991947875;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.83768599;-44.26944376
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GE TANCREDO NEVES;21166552;MA;Jatobá;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CENTRAO DO FELICIANO, POVOADO. 65693-000 Jatobá - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.91086016;-44.41740398
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GE FREDERICO BRANDAO;21166625;MA;Jatobá;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO AXIXA, POVOADO. 65693-000 Jatobá - MA.";(99) 991351066;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.81315618;-44.3725968
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GE GONCALVES DIAS;21166641;MA;Jatobá;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CACHIMBOS, POVOADO. 65693-000 Jatobá - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.9136745;-44.29487233
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GE LEDA TAJRA;21166757;MA;Jatobá;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA DEPUTADO JOSE ANCELMO FREITAS, SN CENTRO. 65693-000 Jatobá - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.82099962;-44.23637564
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE MARIA ALVES DA CONCEICAO;21166790;MA;Jatobá;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA SAO FRANCISCO, SN CENTRO. 65693-000 Jatobá - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";;-5.81823;-44.2243267
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GE OSVALDO CRUZ;21166854;MA;Jatobá;Rural;A escola não está em área de localização diferenciada;Pública;"RUA SAO JOAQUIM POVOADO PULGA, SN POVOADO. 65693-000 Jatobá - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.81471529;-44.20168476
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GE PAULO VI;21166862;MA;Jatobá;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO TABOCA DA ONCA, POVOADO. 65693-000 Jatobá - MA.";(99) 991447632;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.91419838;-44.35958495
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GE SAO JOAO;21166927;MA;Jatobá;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CENTRO DO JOAO DROGA, SN POVOADO. 65693-000 Jatobá - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.88863176;-44.47362005
