Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE JOAO PARAIBANO;21169020;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA JOAO PARAIBANO, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-6.432436;-43.9903527
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE ARI FURTADO;21169055;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SOLTA, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE DOM PEDRO II;21169080;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO TABOLEIRAO, ZONA RURAL. 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DR ADONIAS LACERDA;21169098;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA BANDEIRANTE, 84 VILA APARECIDA. 65670-000 Paraibano - MA.";(99) 998161920;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE SAO JOSE;21169217;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO VAZANTE DO RERE, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE DEP GASTAO DIAS VIEIRA;21169225;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO MATAPASTO, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.330239;-43.94802
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE PE CONSTANTINO VIEIRA;21169268;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO POCO VERDE, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.386398;-43.91792
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE HENRIQUE DIAS;21169314;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA HENRIQUE DIAS, CENTRO. 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE IRMA GEMA ROVER;21169357;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA BOA VISTA, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.427352;-43.98827
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE OS AMIGUINHOS;21169365;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"TRAVESSA JOSE LIRA, CENTRO. 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE RAIMUNDO FERNANDES DE SOUSA;21169390;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA BOA VISTA, CENTRO. 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-6.42717804;-43.98810271
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE EUZEBIA DIAS CARNEIRO;21169411;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CENTRO DO TOQUINHA, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE JOAO DA CRUZ SOUSA;21169438;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CATINGUEIRO, ZONA RURAL. 65670-000 Paraibano - MA.";(99) 35541400;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE MARIA MADALENA COELHO;21169462;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POAVOADO VARZINHA, 65670-000 Paraibano - MA.";(99) 35549067;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.483236;-43.85325
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE MARIA RAIMUNDA SOUSA COELHO;21169470;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CANA BRAVA, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.438579;-43.93808
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE DES SARNEY COSTA;21169497;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DO POEMA, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE DOMINGOS TAVARES SILVA;21169500;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO VAMOS VENDO, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.311258;-43.9414
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE HENRIQUE DE LA ROQUE;21169519;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO OLHO DAGUA, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.373957;-43.99714
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE OROZIMBO BANDEIRA DE MELO;21169535;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO OROZIMBO, ZONA RURAL. 65670-000 Paraibano - MA.";(99) 35541400;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.511091;-43.88094
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE ENSINO EPITACIO PESSOA;21169543;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA EPITACIO PESSOA, 258 PREDIO. CENTRO. 65670-000 Paraibano - MA.";(99) 35541080;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-6.4339135;-43.986498
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE PRES FIGUEIREDO;21169608;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SANTO ANTONIO, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;-6.495986;-43.9104
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE PROF JOSEFINA DE CASTRO;21169616;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO TABAROA, ZONA RURAL. 65670-000 Paraibano - MA.";(99) 35541400;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.493299;-43.92693
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE ZELIA MARIA DA CRUZ;21169624;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA 1 DE MAIO, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-6.424079;-43.99177
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE ENSINO JOAO FURTADO BRITO;21169632;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAO FRANCISCO, 960 CASA. CENTRO. 65670-000 Paraibano - MA.";;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";;-6.43070878;-43.98928909
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UI MANOEL MENDES CORREA;21219559;MA;Paraibano;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO MIRORO, 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE PADRE DANTE GREGGIO;21262080;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DAS CANDEIAS, SN SUBSTACAO. 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE DARCY FURTADO;21271704;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA CICERO BRITO, RESIDENCIAL. 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CRECHE MARIA JOSE DE JESUS SILVA;21277591;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"TRAVESSA 2 DE JULHO, VILA APARECIDA. 65670-000 Paraibano - MA.";(99) 35541400;Municipal;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE JANUARIO DIAS CARVALHO;21324603;MA;Paraibano;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA CANDIDO NOLETO, MARAJA. 65670-000 Paraibano - MA.";;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
