Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CRECHE JACY SARAIVA DA SILVA SANTOS;21169659;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DA PALMEIRA, SN CENTRO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-6.1797919;-43.7772403
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM CEL GERMANO CARDOSO SILVA;21169713;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"SAO JOAQUIM, SN FAVEIRA. 65680-000 Passagem Franca - MA.";(99) 984203611;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-6.1934282;-43.7795814
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DUQUE DE CAXIAS;21169756;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"POCO DOS MOREIRA, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.19767988;-43.9237484
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM GONCALO MOREIRA LIMA;21169764;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"BOA VISTA, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.15843478;-43.92456236
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM LUIZA FERNANDES;21169772;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"BOCA DA MATA, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.2901353;-43.9246776
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM 19 DE NOVEMBRO;21169829;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"NAZARE, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-6.00332742;-43.83042206
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM AFONSO COSTA;21169853;MA;Passagem Franca;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA TANCLER LIMA BRITO, 01 COHAB. 65680-000 Passagem Franca - MA.";(99) 984125980;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-6.17298772;-43.77687509
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM IMACULADA CONCEICAO;21170010;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"MAMBIRA, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.1761508;-43.8832276
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JOAO ZIDORIO PEREIRA DA COSTA;21170037;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"BURITIZINHO DOS PEREIRA, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Em Tramitação;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.0573722;-43.8173332
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM JOSE CALAZANS DE SA;21170053;MA;Passagem Franca;Rural;A escola não está em área de localização diferenciada;Pública;"MANGABEIRA, POVOADO. 65680-000 Passagem Franca - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
