Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA PARALISADA;ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA;21170320;MA;Sucupira do Riachão;Rural;Não Informado;Pública;"POV PASSAGEM FUNDA, 65668-000 Sucupira do Riachão - MA.";;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE M ELIZIARIO FERNANDES LIMA;21172870;MA;Sucupira do Riachão;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO BOM JESUS, RURAL. 65668-000 Sucupira do Riachão - MA.";;Municipal;Não Informado;Não;Não;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.4147895;-43.5451219
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM HUGO GUIMARAES;21172994;MA;Sucupira do Riachão;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA DAMIAO MORAIS, 212 CENTRO. 65668-000 Sucupira do Riachão - MA.";;Municipal;Não Informado;Não;Não;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-6.42409678;-43.5414308
ESCOLA PARALISADA;EM PRES COSTA E SILVA;21173079;MA;Sucupira do Riachão;Rural;Não Informado;Pública;"POV FAZENDA NOVA, 65668-000 Sucupira do Riachão - MA.";;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM SAO JOSE;21173117;MA;Sucupira do Riachão;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO BACURI, ZONA RURAL. 65668-000 Sucupira do Riachão - MA.";;Municipal;Não Informado;Não;Não;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.4146909;-43.5451007
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM SAO SEBASTIAO;21173141;MA;Sucupira do Riachão;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO MANAJOS, 65668-000 Sucupira do Riachão - MA.";;Municipal;Não Informado;Não;Não;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.4145844;-43.5451288
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM EDILEUSA FERREIRA DA SILVA;21173192;MA;Sucupira do Riachão;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO MATOES, RURAL. 65668-000 Sucupira do Riachão - MA.";;Municipal;Não Informado;Não;Não;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.4561561;-43.5797607
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM STA TEREZINHA;21173206;MA;Sucupira do Riachão;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO MORRO VERMELHO, 65668-000 Sucupira do Riachão - MA.";(99) 992188354;Municipal;Não Informado;Não;Não;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.4145917;-43.5451169
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UNIDADE ESCOLAR MUNICIPAL LUISA DA COSTA RIBEIRO;21173214;MA;Sucupira do Riachão;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO TINGUIS, RURAL. 65668-000 Sucupira do Riachão - MA.";(99) 35531230;Municipal;Não Informado;Não;Não;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.4146299;-43.5450791
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE STO ANTONIO;21173230;MA;Sucupira do Riachão;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO PIQUI, 65668-000 Sucupira do Riachão - MA.";;Municipal;Não Informado;Não;Não;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-6.4146453;-43.5450434
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UNIDADE INTEGRADA HUMBERTO DE CAMPOS;21173419;MA;Sucupira do Riachão;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GRANDE, 514 CENTRO. 65668-000 Sucupira do Riachão - MA.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";;-6.41231931;-43.54579164
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE ENSINO PROFESSORA MARIETA SA;21242925;MA;Sucupira do Riachão;Urbana;A escola não está em área de localização diferenciada;Pública;"VILA REGINA, 00 CENTRO. 65668-000 Sucupira do Riachão - MA.";(99) 984371720;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";;-6.4211459;-43.54116
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UNIDADE ESCOLAR MUNICIPAL PROFª ROSALIA OLIVEIRA DA SILVA;21286744;MA;Sucupira do Riachão;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GRANDE, S/N ALTO ALEGRE. 65668-000 Sucupira do Riachão - MA.";;Municipal;Não Informado;Não;Não;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;;
