Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JI SETE ANOES;21127395;MA;Fortuna;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA TRAVESSA JOAO LISBOA, SN MARANHAO. 65695-000 Fortuna - MA.";(99) 88242833;Municipal;Não Informado;Não;Não;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-5.73517939735951;-44.1578808019729
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE IVAR SALDANHA;21127433;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CORREDEIRA, 65695-000 Fortuna - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-5.8100922871381;-44.0697665791959
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE LEDA TAJRA;21127441;MA;Fortuna;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAO FRANCISCO, S/N CENTRO. 65695-000 Fortuna - MA.";(99) 988229647;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-5.72960944;-44.15515225
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UI ELIZEU SOARES;21127450;MA;Fortuna;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DE COLINAS, PIAUI. 65695-000 Fortuna - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-5.74019887;-44.15183443
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE OSVALDO COELHO DE SOUSA;21127476;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO MORADA NOVA, 65695-000 Fortuna - MA.";(99) 988067176;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.7363760471344;-44.158083004877
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UI PIRES DE SABOIA;21127492;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO BARRO PRETO, 65695-000 Fortuna - MA.";(99) 88297500;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-5.66107802;-43.96859135
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UI PRES CASTELO BRANCO;21127506;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SAO JOSE, 65695-000 Fortuna - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-5.69867363;-44.07382623
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UI PRESIDENTE MEDICI;21127514;MA;Fortuna;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA 15 DE NOVEMBRO, PIAUI. 65695-000 Fortuna - MA.";(99) 35741575;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE ANTONIO ARAUJO GOMES;21127522;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO ALTO DOS BARROS, 65695-000 Fortuna - MA.";;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-5.73076763;-44.14936129
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;UE PROF CARLINDA PIRES;21127530;MA;Fortuna;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO PAU FERRADO, 65695-000 Fortuna - MA.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-5.57521506914563;-43.8588966442105
